Case,Observed_dataset,Emission_Compartment,Target_Compartment,RMSE,R2,Slope,Spearman_r,Pass_Spearman,MPdensity_kg_m3,FI,t_half_deg_free,t_frag_gen_FreeSurfaceWater
21,Sea Surface all | Cai,Surface_Freshwater,Ocean_Surface_Water,1.0794896265736924,-2.339668180245168,-2.794831438352526,-1.0,True,1027.5319670423107,0.7408183021470904,4154.920691366332,47.15673042962145
13,Sea Surface all | Cai,Surface_Freshwater,Coast_Surface_Water,1.1863768957352538,-3.033775583374066,-2.4252068718457442,-1.0,True,1121.8133512477903,0.6033657537773252,3615.677397989515,22.326527525385192
19,Sea Surface all | Cai,Surface_Freshwater,Coast_Surface_Water,1.233228032893415,-3.3586615623433644,-2.4713990642908206,-1.0,True,1161.6520193863762,0.5836473209783435,5394.3824984800585,25.560460500675028
7,Sea Surface Fragments | Enders,Ocean_Surface_Water,Coast_Surface_Water,0.28841809204307933,0.7152964986635792,-2.746604854535332,-1.0,True,1302.5857566121042,0.5395782608538866,9481.499850069624,12.343861837108888
13,Sea Surface Fragments | Enders,Ocean_Surface_Water,Coast_Surface_Water,0.2924862956538094,0.7072082378538166,-2.5879196270622273,-1.0,True,1121.8133512477903,0.6033657537773252,3615.677397989515,22.326527525385192
19,Sea Surface Fragments | Enders,Ocean_Surface_Water,Coast_Surface_Water,0.29715368522489394,0.6977891513806262,-2.5689851600798854,-1.0,True,1161.6520193863762,0.5836473209783435,5394.3824984800585,25.560460500675028
63,Sea Surface Fragments | Enders,Coast_Surface_Water,Ocean_Surface_Water,0.3277972837640472,0.6322450642922426,-3.1252053142588965,-1.0,True,1142.0435862712225,0.9025733647868037,3158.382174470359,79.69456262139977
77,Sea Surface Fragments | Enders,Coast_Surface_Water,Ocean_Surface_Water,0.3957878944842193,0.4638666506301955,-3.5574640551482637,-1.0,True,1052.6719218786097,0.8115330813452601,3073.41552049488,14.554328791386125
11,Sea Surface Fragments | Enders,Ocean_Surface_Water,Coast_Surface_Water,0.3976697762840293,0.4587561444920716,-2.3129884579359317,-1.0,True,1193.8882116574719,0.6794684045016766,7014.614289040168,66.50408224922234
65,Sea Surface Fragments | Enders,Coast_Surface_Water,Ocean_Surface_Water,0.4152768588125776,0.4097672942506644,-3.6462805422540905,-1.0,True,1067.1475829275753,0.8145831767469645,7649.971821573374,27.484250670786114
15,Sea Surface Fragments | Enders,Ocean_Surface_Water,Coast_Surface_Water,0.43685490956146455,0.34683598373343194,-2.3191024681247168,-1.0,True,1266.8602077145417,0.7534087570384145,4509.321025122595,33.63773384602314
17,Sea Surface Fragments | Enders,Ocean_Surface_Water,Coast_Surface_Water,0.4523405627697639,0.29970846431552123,-2.562515844662871,-1.0,True,1052.6719218786097,0.8115330813452601,3073.41552049488,14.554328791386125
