Case,Observed_dataset,Emission_Compartment,Target_Compartment,RMSE,R2,Slope,Spearman_r,Pass_Spearman,MPdensity_kg_m3,FI,t_half_deg_free,t_frag_gen_FreeSurfaceWater
101,Sea Surface all | Cai,Coast_Surface_Water,Coast_Surface_Water,0.24114552244554113,0.8333425329380245,-1.488331515341178,-1.0,True,1027.5319670423107,0.7408183021470904,4154.920691366332,47.15673042962145
288,Sea Surface all | Cai,Impacted_Soil_Surface,Ocean_Surface_Water,0.32442632873358535,0.6983533155406274,-2.7549260029082743,-1.0,True,954.1988196329055,0.40327005833387375,11741.727561486723,15.729051243049968
1,Sea Surface all | Cai,Surface_Freshwater,Coast_Surface_Water,0.35979706222984154,0.6289934320273202,-1.7060206327008751,-1.0,True,1027.5319670423107,0.7408183021470904,4154.920691366332,47.15673042962145
23,Sea Surface all | Cai,Surface_Freshwater,Coast_Surface_Water,0.4058474882425002,0.5279455488461726,-1.773768187664598,-1.0,True,1397.5404051676394,0.9698357824236155,5627.571199229376,50.288791617274825
238,Sea Surface all | Cai,Impacted_Soil_Surface,Coast_Surface_Water,0.470464987049392,0.3656616212411128,-2.851555314634625,-1.0,True,954.1988196329055,0.40327005833387375,11741.727561486723,15.729051243049968
143,Sea Surface all | Cai,Coast_Surface_Water,Coast_Surface_Water,0.5153467851675928,0.23885830254320795,-1.835870020972208,-1.0,True,1209.5262939355503,0.9503141585737467,3983.7845371082194,10.68760294710077
291,Sea Surface all | Cai,Impacted_Soil_Surface,Ocean_Surface_Water,0.5469986518197423,0.14249061086450987,-2.910174859160248,-1.0,True,980.681203058566,0.6637955326586962,3357.0942506393985,28.15704096307011
275,Sea Surface all | Cai,Impacted_Soil_Surface,Ocean_Surface_Water,0.5534059565338626,0.12228396868848845,-2.7961000245304004,-1.0,True,970.257513917095,0.5204778723418713,6126.121829511241,35.86723419491317
3,Sea Surface all | Cai,Surface_Freshwater,Coast_Surface_Water,0.5619657081754696,0.0949220124877419,-1.8264915447311467,-1.0,True,1142.0435862712225,0.9025733647868037,3158.382174470359,79.69456262139977
29,Sea Surface all | Cai,Surface_Freshwater,Coast_Surface_Water,0.5732851350956729,0.058093629976851746,-1.9503038918612963,-1.0,True,1102.5406864705117,0.9065061183646321,4965.649411422003,61.77968395687778
